address,beds,baths,sqft,lotAreaValue,log_price,Bathroom Information_# of Full Baths,Bathroom Information_# of Bathroom Fixtures,Heating & Cooling_Heating Type,Fireplace Information_# of Fireplaces,Fireplace Information_Fireplace Type,Exterior Information_Physical Condition,Exterior Information_Foundation Type,Exterior Information_Construction Type,Exterior Information_Exterior Wall,Exterior Information_Building Type,Property Information_Subdivision Name,Property Information_Living Sq. Ft,Property Information_Building Sq. Ft,Property Information_# of Stories,Property Information_Stories Type,Property Information_Legal Description,Parking & Garage Information_Parking Type,Parking & Garage Information_Garage/Parking Sq. Ft,Parking & Garage Information_Garage / Carport Type,Lot Information_# of Buildings,Lot Information_Land Sq. Ft,Lot Information_Legal Lot Number,Lot Information_School Tax District,Lot Information_Municipality Name,Lot Information_Acres,Lot Information_State Use Description,Assessor Information_Assessment Year,Assessor Information_Tax District County,Basement Information_Basement Type,Heating & Cooling_Heating Fuel Type,Room Information_# of Rooms,Exterior Information_Building Style Type,Property Information_Ground Floor Sq. Ft,Lot Information_Legal Block Number,Lot Information_Depth Footage,Lot Information_Front Footage,Lot Information_County Use Description,Utility Information_Electricity / Wiring Type,Basement Information_Basement Sq. Ft,Bathroom Information_# of 1/2 Baths,Heating & Cooling_Air Conditioning Type,Utility Information_Sewer Type,Utility Information_Water Service Type,Basement Information_Basement Finish,Exterior Information_Building Improvement Type,Parking & Garage Information_# of Parking Spaces,Lot Information_Zoning Code,Exterior Information_Roof Covering Type,Exterior Information_Roof Shape Type,Pool Information_Pool Type
"1116 Black Horse Run, Loveland, OH 45140",5.0,5.5,6300.0,1.0699954086317722,13.710150042306449,4,18,Central,1,Prefab,Average,,,Frame/Masonry,Residential,BLACK HORSE RUN,"6,240","7,224",1.5,,BLACK HORSE RUN B LOT 24,Masonry/Brick Garage,864,Masonry/Brick,1,"46,566",24,,MIAMI TWP,1.069,SINGLE FAMILY,2022,,Full,Gas,8,Cape Cod,"2,400",,,,,Available,"2,640",2,Central,Public,Public,Finished,,,,,,
"10607 Route 48, Loveland, OH 45140",2.0,0.5,2304.0,1.0000918273645547,12.345834587905333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1518 Crown Point Ln, Loveland, OH 45140",4.0,3.5,3732.0,0.4429981634527089,13.566920985318589,3,13,Central,2,Wood Stove,Average,,,Brick,Residential,OASIS GOLF CLUB COMMUNITY SEC 1,"3,732","5,460",2,,OASIS GOLF CLUB COMM 1 LOT 51,Masonry/Brick Garage,688,Masonry/Brick,1,"19,297",51,,MIAMI TWP,0.443,SINGLE FAMILY,2022,,Full,,9,Colonial,980,,,,,,"1,728",1,Central,Public,Public,,,,,,,
"633 Woodsway Dr, Loveland, OH 45140",4.0,3.0,2267.0,0.4800045913682277,12.983101310070822,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,WARDWOOD ESTATES,"1,842","2,630",2,,WARDWOOD ESTATES C LOT 49,,,,1,"20,909",49,,MIAMI TWP,0.48,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,500,,,,,Available,788,1,Central,Public,Public,,,,,,,
"106 Bares Run Dr, Loveland, OH 45140",4.0,4.0,3070.0,0.7639807162534435,13.300509562787802,3,11,Central,1,Prefab,Average,,,Brick,Residential,HUNTINGTON,"3,070","3,466",2,,LOVELAND CITY LAND HUNTINGTON C LOT 64,Masonry/Brick Garage,484,Masonry/Brick,1,"33,280",64,,LOVELAND CITY,0.764,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,259",,,,,,396,,Central,Public,Public,,,,,,,
"9723 Carriage Run Ct, Loveland, OH 45140",4.0,4.0,3638.0,0.49,13.541073712262515,3,16,Forced Air,1,1 Opening,Excellent,Concrete,Frame,Wood Siding,Single Family,HERITAGE GREEN,"3,638","4,427",,,HERITAGE GREEN BLK F #252,Attached Garage,789,Attached,1,"21,262",252,LOVELAND CITY,DEERFIELD TWP,0.4881,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,F,,,,,,1,,,,,Building,,,,,
"9369 Gardenside Ln, Loveland, OH 45140",3.0,3.0,2383.0,0.21819999999999998,13.458835614025542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11458 Enyart Rd, Loveland, OH 45140",3.0,3.0,4022.0,2.45,13.487006490992238,2,,,2,2 Openings,Very Good,Concrete Block,Frame,Frame/Masonry,,PINE GROVE 2ND SUB,"4,022","5,696",1,1,NS ENYART RD 2.3319 ACS PT LOT 7 PINE GROVE 2ND SUB R1 T5 S30,Attached Frame Garage,"1,008",Attached Frame,1,"101,578",7,,SYMMES TOWNSHIP,2.3319,SINGLE FAMILY,2022,,Partial,Gas,9,Conventional,"4,022",,,20.21,RESID-SINGLE FAMILY,Connected,666,1,Central,,,,,2,A,,,
"118 Arcaro Dr, Loveland, OH 45140",4.0,2.5,2031.0,0.14499540863177227,12.697715449879391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10125 Fox Chase Dr, Loveland, OH 45140",4.0,2.5,2115.0,0.24797979797979797,12.842649474601725,2,,,1,,Average,,Brick/Frame,Frame/Masonry,,FOX CHASE SUB,"2,115","3,648",2,2,FOX CHASE DRIVE 68.18 X 150.50 FT IRR LOT93 FOX CHASE SUB BL C,Attached Brick Garage,420,Attached Brick,1,"10,803",93,,LOVELAND CITY,0.248,SINGLE FAMILY,2022,,Full,Gas,9,Conventional,"1,113",C,150.5,68.18,RESID-SINGLE FAMILY,Connected,"1,113",1,Central,,,,,2,,,,
"1417 Blackstone Pl, Loveland, OH 45140",5.0,5.0,5215.0,0.7399908172635445,13.527828485512494,3,13,Central,1,Prefab,Average,,,Brick,Residential,BLACKSTONE SUB,"5,223","5,922",2,,BLACKSTONE SUB LOT 17,Masonry/Brick Garage,864,Masonry/Brick,1,"32,104",17,,MIAMI TWP,0.737,SINGLE FAMILY,2022,,Full,,12,Colonial,"1,584",,,,,Available,"1,999",1,Central,Public,Public,Finished,,,,,,
"825 Wards Corner Rd, Loveland, OH 45140",4.0,3.0,2623.0,0.6950000000000001,12.84792653170257,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,CLEARFIELD,"2,623","2,623",2,,CLEARFIELD LOT 1,Masonry/Brick Garage,420,Masonry/Brick,1,"30,274",1,,MIAMI TWP,0.695,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,245",,,,,Available,,1,Central,Public,Public,,,,,,,
"6039 Delicious Asha Ct, Loveland, OH 45140",4.0,3.0,2264.0,0.3099862258953168,13.038981768465277,2,12,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,MITCHELL FARM SEC 04,"3,064","3,232",2,,MITCHELL FARM SECTION 4 LOT 171,Frame Garage,480,Frame,1,"13,504",171,,MIAMI TWP,0.31,SINGLE FAMILY,2022,,Full,,10,Colonial,"1,032",,,,,,968,2,Central,Public,Public,Finished,,,,,,
"1592 State Route 28, Loveland, OH 45140",4.0,1.0,2532.0,18.48399908172636,12.836495658018135,,,,,,,,,,,HUMPHREY &amp; BRANHAM MILITARY SU,,,,,SEE 112203A073T FOR TIF,,,,,"805,163",40,,GOSHEN TWP,18.484,RESID VACANT LAND,2022,,,Gas,,,,,,,,Available,,,,Public,Public,,,,,,,
"6880 Stagge Rd, Loveland, OH 45140",3.0,2.5,2004.0,5.06198347107438,13.433481175333725,,,,,,,,,,,,,,,,,,,,,"220,509",,,GOSHEN TWP,5.0622,RESID VACANT LAND,2022,,,Gas,,,,,,,,Available,,,,Public,Public,,,,,,,
"Charles Snider Rd, Loveland, OH 45140",3.0,2.5,2004.0,2.1519972451790634,12.836495658018135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6360 S Devonshire Dr, Loveland, OH 45140",4.0,4.0,2495.0,0.4599862258953168,13.200989697859518,3,13,Central,1,Wood Stove,Average,,,Brick,Residential,PAXTON SOUTH,"2,880","3,296",2,,PAXTON SOUTH B LOT 68,Masonry/Brick Garage,441,Masonry/Brick,1,"19,994",68,,MIAMI TWP,0.459,SINGLE FAMILY,2022,,Full,Gas,8,Colonial,"1,116",B,,,,Available,416,1,Central,Public,Public,,,,,,,
"10226 Elmfield Dr, Loveland, OH 45140",4.0,4.0,2804.0,15586.0,13.347105650082236,3,,,1,,Average,,,Frame/Masonry,,PLANTATION POINTE SUB,"2,804","4,722",2,,NS ELMFIELD DR 0.3578 AC LOT 6PLANTATION POINTE SUBBLK A,Attached Brick Garage,484,Attached Brick,1,"15,586",6,,SYMMES TOWNSHIP,0.3578,SINGLE FAMILY,2022,,Full,,10,Conventional,"1,434",A,,,RESID-SINGLE FAMILY,,"1,434",,Central,,,,,,B,,,
"6641 Miami Trails Dr, Loveland, OH 45140",4.0,2.5,3117.0,0.4589990817263544,13.07862045445641,2,10,Central,1,Wood Stove,Average,,,Frame/Masonry,Residential,MIAMI TRAILS,"3,117","3,117",2,,MIAMI TRAILS BLK B LOT 54,Masonry/Brick Garage,508,Masonry/Brick,1,"19,994",54,,MIAMI TWP,0.459,SINGLE FAMILY,2022,,Full,Wood,7,Colonial,"1,180",B,,,,Available,,1,Central,,,,,,,,,
"907 Murle Ln, Loveland, OH 45140",3.0,2.5,1836.0,0.5169880624426079,12.594730635321957,2,10,Central,2,Wood Stove,Average,,,Frame/Masonry,Residential,MURWIND ACRES,"2,574","2,574",1,,MURWIND ACRES LOT 11,Masonry/Brick Garage,440,Masonry/Brick,1,"22,521",11,,MIAMI TWP,0.517,SINGLE FAMILY,2022,,Partial,Gas,6,Split Level,"1,736",,,,,Available,738,1,Central,Public,Public,Finished,,,,,,
"1723 Laurel Glen Ct, Loveland, OH 45140",3.0,2.5,2697.0,3.626698806244261,13.527828485512494,2,10,Forced Air,1,1 Opening,Good,Concrete,Brick,Masonry,Single Family,LAUREL GLEN,"3,997","4,787",1,1,LAUREL GLEN LOT# 29,Attached Garage,790,Attached,1,"157,979",29,,HAMILTON TWP,3.6267,SINGLE FAMILY DWELLING,2022,LITTLE MIAMI LSD,Full,,,,,,,,,,"1,300",1,,,,Finished,Building,,,,,
"6160 Woodville Dr, Loveland, OH 45140",4.0,2.5,1680.0,0.2349862258953168,12.611537753638338,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,WOODLANDS RESERVE SEC 1,"2,227","2,227",2,,WOODLANDS RESERVE SECTION 1 BLOCK B LOT 17,Frame Garage,400,Frame,1,"10,254",17,,GOSHEN TWP,0.2354,SINGLE FAMILY,2022,,Full,,8,Colonial,640,B,,,,,547,1,Central,Public,Public,Finished,,,,,,
"1148 Clover Field Dr, Loveland, OH 45140",3.0,2.5,2004.0,0.4289944903581267,13.08404865371862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11733 Lebanon Rd, Loveland, OH 45140",3.0,1.0,2592.0,4.106978879706152,13.304684934198283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11984 Stonemark Ln, Loveland, OH 45140",4.0,5.0,4500.0,0.6099862258953168,13.422467969854667,3,,,1,,Average,,Brick/Frame,Frame/Masonry,,STONEBRIDGE FARMS SUB,"3,487","5,999",2,2,STONEMARK LN 109.59 X 229.57 IRR LOT 78 STONEBRIDGE FARMS SUB PT 2 BLK A,Attached Brick Garage,667,Attached Brick,1,"26,615",78,,SYMMES TOWNSHIP,0.611,SINGLE FAMILY,2022,,Full,Gas,10,Conventional,"1,845",A,229.57,109.59,RESID-SINGLE FAMILY,Connected,"1,845",1,Central,,,,,3,A,,,
"3222 Shadow Ridge Dr, Loveland, OH 45140",5.0,2.5,2646.0,0.4719926538108356,13.16158409055761,2,10,Heat Pump,1,1 Opening,Very Good,Concrete,Frame/Masonry,,Single Family,PAULS POINTE 1,"2,646","3,106",2,2,PAUL'S POINTE 1 LOT# 4,Attached Garage,460,Attached,1,"20,542",4,LOVELAND CITY,DEERFIELD TWP,0.47,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,1,,,,Finished,,,,,,Inground
"6025 Marsh Cir, Loveland, OH 45140",3.0,2.0,1424.0,0.1099862258953168,12.354492650648448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"542 Park Ave, Loveland, OH 45140",3.0,1.5,1150.0,0.2829889807162534,12.323855681186558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1831 Lindenhall Dr, Loveland, OH 45140",4.0,3.0,1904.0,0.241,12.691580461311874,2,,,1,,Good,Concrete Block,Brick/Frame,Frame/Masonry,,C HUBER HERNERT,"1,904","3,238",2,2,LINDENHALL DR 70 X 150 LOT 275 HERBERT C HUBER PLAT 45 E,Attached Brick Garage,420,Attached Brick,1,"10,498",275,,LOVELAND CITY,0.241,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,890,,150,70,RESID-SINGLE FAMILY,Connected,914,1,Central,,,,,2,,,,
"6828 Bunkerwood Dr, Loveland, OH 45140",3.0,2.5,1702.0,0.6149908172635445,12.721885810807203,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,OBANNON CREEK,"1,702","1,982",2,,O BANNON CREEK A LOT 10,Frame Garage,400,Frame,1,"26,789",10,,GOSHEN TWP,0.615,SINGLE FAMILY,2022,,Full,Gas,7,Colonial,675,,,,,Available,280,1,Central,Public,Public,,,,,,,
"1746 Millbrook Ln, Loveland, OH 45140",4.0,2.5,2727.0,0.5509871441689623,13.073173133213556,2,10,Central,,,Average,,,Frame/Masonry,Residential,MILLBROOK FARM SEC 1,"2,727","2,895",2,,MILLBROOK FARM I LOT 9,Masonry/Brick Garage,420,Masonry/Brick,1,"24,002",9,,MIAMI TWP,0.551,SINGLE FAMILY,2022,,Full,Gas,9,Colonial,"1,086",,,,,Available,168,1,Central,Public,Public,,,,,,,
"1818 Wheatfield Way, Loveland, OH 45140",3.0,3.0,1442.0,0.2029843893480257,12.637855061955712,2,10,Central,,,Average,,,Aluminum/Vinyl,Residential,WEBER OAKS SEC 04,"1,442","1,850",2,,WEBER OAKS SECTION 4 LOT 150,Frame Garage,420,Frame,1,"8,843",150,,MIAMI TWP,0.203,SINGLE FAMILY,2022,,Crawl-Space,,7,Conventional,336,,,,,,408,1,Central,Public,Public,,,,,,,
"11727 Hickory Run Ct, Loveland, OH 45140",3.0,3.0,1686.0,0.15098714416896236,13.071070083016778,3,,,1,,,,,Frame/Masonry,,PARKLAND MEADOWS SUB,"2,336","3,834",1,,HICKORY RUN CT LOT 150.151 AC PARKLAND MEADOWS SUB,Attached Frame Garage,462,Attached Frame,1,"6,578",15,,SYMMES TOWNSHIP,0.151,SINGLE FAMILY,2022,,,,5,Conventional,"1,686",,,,RESID-SINGLE FAMILY,,"1,686",,Central,,,,,,,,,
"9560 Lakeside Estates Dr, Loveland, OH 45140",3.0,2.5,2004.0,1.56198347107438,14.343338421009312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"900 Marbea Dr, Loveland, OH 45140",3.0,2.0,1350.0,0.22000000000000003,12.345834587905333,1,,,1,,Very Good,Concrete,,Frame/Masonry,,STONEYBROOK SUB,"1,350","2,077",1,1,MARBEA DR 80 X 120 IRR LOT 186 STONEYBROOK SUB BLK F,Attached Frame Garage,727,Attached Frame,1,"9,583",186,,LOVELAND CITY,0.22,SINGLE FAMILY,2022,,Finished,Gas,6,Conventional,"1,350",F,120,80,RESID-SINGLE FAMILY,Connected,,,Central,,,,,2,,,,
"206 Heidelberg Dr, Loveland, OH 45140",4.0,3.0,1900.0,0.25,12.847663339175718,2,,,,,Average,Concrete,Brick/Frame,Frame/Masonry,,HUBERS,"1,648","2,088",2,2,HEIDELBERG DR 70 X 150 LOT 415 HERBERT C HUBER PLAT 45-B,Attached Brick Garage,440,Attached Brick,1,"10,498",415,,LOVELAND CITY,0.241,SINGLE FAMILY,2022,,Finished,Gas,8,Conventional,872,,150,70,RESID-SINGLE FAMILY,Connected,,1,Central,,,,,2,,,,
"6711 Susan Dr, Loveland, OH 45140",3.0,3.0,1746.0,0.537,12.691580461311874,1,7,Central,1,Wood Stove,Average,,,Brick,Residential,SPRINGVALE ESTATES,"1,746","1,746",1,,SPRINGVALE ESTATES LOT 32,Masonry/Brick Garage,440,Masonry/Brick,1,"23,392",32,,GOSHEN TWP,0.537,SINGLE FAMILY,2022,,Full,Wood,7,Ranch,"1,746",,,,,Available,,1,Central,,,,,,,,,
"2380 Rose Rd, Loveland, OH 45140",3.0,2.0,1272.0,0.23149678604224058,12.310432660854417,2,8,Heat Pump,,,Average,Concrete,Brick,Masonry,Single Family,LOVELAND PARK,"1,272","1,512",1,1,LOVELAND PARK #5600-5604,Attached Garage,240,Attached,1,"10,084",5600,LOVELAND CITY,DEERFIELD TWP,0.23,SINGLE FAMILY DWELLING,2022,KINGS LSD,,,,,,,,,,,,,,,,,,,,,,
"3140 Myrtle Ave, Loveland, OH 45140",6.0,2.0,2692.0,0.5009871441689624,12.524526376648708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6341 Barrington Cir, Loveland, OH 45140",4.0,3.5,3400.0,0.85,13.399995114002609,2,10,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,TANGLEWOOD 05,"3,670","5,482",2,,TANGLEWOOD V BLK 5 LOT #178,Frame Garage,"1,806",Frame,1,"36,982",178,,MIAMI TWP,0.849,SINGLE FAMILY,2022,,Full,Gas,8,Modern,"1,028",5,,,,Available,612,1,Central,Public,Public,,,,,,,
"2002 Collingwood Ct, Loveland, OH 45140",3.0,2.5,1709.0,0.1779843893480257,12.439166527697552,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,CAMERON CROSSING SEC 1,"1,709","1,709",2,,CAMERON CROSSING SECTION 1 LOT 17,Frame Garage,420,Frame,1,"7,754",17,,GOSHEN TWP,0.178,SINGLE FAMILY,2022,,,,5,Conventional,702,,,,,,,1,Central,Public,Public,,,,,,,
"6323 Lake Ridge Ct, Loveland, OH 45140",4.0,2.5,2548.0,0.4639807162534435,12.886641043883259,2,10,Central,1,Prefab,Average,,,Aluminum/Vinyl,Residential,FOREST KNOLL SEC IV C,"2,548","2,684",2,,FOREST KNOLL SECTION IV C LOT 15,Frame Garage,420,Frame,1,"20,212",15,,MIAMI TWP,0.464,SINGLE FAMILY,2022,,Full,,8,Colonial,"1,048",,,,,,136,1,Central,Public,Public,,,,,,,
"210 Sioux Dr, Loveland, OH 45140",3.0,1.0,925.0,0.17998163452708907,12.100712129872347,1,,,,,Good,Concrete,Frame,Frame Siding,,LOVELAND HEIGHTS,925,925,1,1,PUEBLO PL 82.07 X 108.28 IRR LOT 34 LOVELAND HT 1ST BLK A,Garage/Carport,300,,1,"7,928",34,,LOVELAND CITY,0.182,SINGLE FAMILY,2022,,Finished,Gas,5,Conventional,925,A,108.28,82.07,RESID-SINGLE FAMILY,Connected,,,Central,,,,,1,,,,
"813 Glendon Dr, Loveland, OH 45140",3.0,2.0,1568.0,0.22998163452708908,12.180754837545884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2278 Locust Dr, Loveland, OH 45140",2.0,1.0,964.0,0.25,12.043553716032399,1,5,Forced Air,,,Fair,Concrete,Frame,Shingle,Single Family,LOVELAND PARK,964,964,1,1,LOVELAND PARK #612-616,,,,1,"10,334",612,LOVELAND CITY,DEERFIELD TWP,0.24,SINGLE FAMILY DWELLING,2022,KINGS LSD,Partial,,,,,,,,,,,,,,,Partially Finished,,,,,,
"6567 Windfield Ct, Loveland, OH 45140",4.0,3.0,2200.0,0.548989898989899,12.92391243868049,2,10,Central,1,Prefab,Average,,,Frame/Masonry,Residential,WINDFIELD HILLS SEC 4,"2,018","2,018",2,,WINDFIELD HILLS IV LOT 91,Frame Garage,550,Frame,1,"23,914",91,,MIAMI TWP,0.549,SINGLE FAMILY,2022,,Full,Gas,10,Colonial,842,,,,,Available,,1,Central,Public,Public,,,,,,,
"5730 Clemens Dr, Loveland, OH 45140",3.0,3.0,1200.0,0.11978879706152433,12.367340793126296,2,10,Central,,,Average,,,Aluminum/Vinyl,,WOODLAND STREAMS SEC 2,"1,200","1,200",2,,WOODLAND STREAMS SECTION 2 LOT 132,Frame Garage,160,Frame,1,"5,218",132,,GOSHEN TWP,0.1198,SINGLE FAMILY,2022,,,,6,Conventional,520,,,,,,,1,Central,Public,Public,,,,,,,
"9475 Farmcourt Ln, Loveland, OH 45140",4.0,2.5,2502.0,0.675,12.936033799212835,2,,,1,,Fair,Concrete Block,Brick,Frame/Masonry,,MORGANS TRACE SUB,"2,502","4,274",2,2,FARMCOURT LA 61.77 X 206.54 IRR LOT 23MORGANS TRACE SUB BLK D,Attached Brick Garage,420,Attached Brick,1,"29,403",23,,SYMMES TOWNSHIP,0.675,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"1,352",D,206.54,61.77,RESID-SINGLE FAMILY,Connected,"1,352",1,Central,,,,,2,A,,,
"292 Indianview Dr, Loveland, OH 45140",4.0,2.0,2180.0,0.7040000000000001,11.918390573078392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"977 Arnold Palmer Dr, Loveland, OH 45140",4.0,5.0,3973.0,0.462,13.534473028231162,2,10,Central,1,Wood Stove,Average,,,Brick,Residential,OASIS POINTE,"3,981","4,413",2,,OASIS POINTE LOT 11,Masonry/Brick Garage,690,Masonry/Brick,1,"20,125",11,,MIAMI TWP,0.462,SINGLE FAMILY,2022,,Full,,9,Colonial,"1,514",,,,,,432,1,Central,Public,Public,,,,,,,
"10275 Willow Dr, Loveland, OH 45140",4.0,2.5,1933.0,0.2879935720844812,12.877740794412995,2,,,1,,Average,,Brick/Frame,Frame/Masonry,,TURNBURY SUB,"1,933","3,354",2,2,WILLOW DR 95.25 X 196.14IRR LOT 55 TURNBURY SUB BL B,Attached Brick Garage,420,Attached Brick,1,"12,545",55,,SYMMES TOWNSHIP,0.288,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"1,009",B,196.14,95.25,RESID-SINGLE FAMILY,Connected,"1,001",1,Central,,,,,2,B,,,
"225 Sioux Dr, Loveland, OH 45140",3.0,1.0,925.0,0.202,12.043553716032399,1,,,,,Good,Concrete,,Frame Siding,,LOVELAND HEIGHTS,925,925,1,1,SIOUX DR 63.03 X 134.35 IRR LOT 94 LOVELAND HGTS 1ST BLK A,,,,1,"8,799",94,,LOVELAND CITY,0.202,SINGLE FAMILY,2022,,Finished,Gas,5,Conventional,925,A,134.35,63.03,RESID-SINGLE FAMILY,Connected,,,Central,,,,,,,,,
"1310 W Main St, Loveland, OH 45140",3.0,1.0,925.0,0.15498163452708907,12.341477282536376,1,,,,,Good,Concrete,Frame,Frame Siding,,LOVELAND HEIGHTS,925,925,1,1,MAIN ST 60 X 107.12 IRR LOT 187 LOVELAND HGTS BLKB,,,,1,"6,752",187,,LOVELAND CITY,0.155,SINGLE FAMILY,2022,,Finished,Gas,5,Conventional,925,B,107.12,60,RESID-SINGLE FAMILY,Connected,,,Central,,,,,,,,,
"1227 Adams Rd, Loveland, OH 45140",4.0,2.0,1836.0,0.748,12.577291314909747,1,5,Forced Air,,,Average,Concrete Block,Stone/Rock,,Single Family,,"1,836","1,836",1,1,MS-1549 .7480 AC.,,,,1,"32,583",,,HAMILTON TWP,0.748,SGL FAM DWG 0-9.99 AC,2022,LITTLE MIAMI LSD,Full,,,,,,,,,,600,,,,,Finished,,,,,,
"536 E Loveland Ave, Loveland, OH 45140",3.0,3.0,1491.0,0.646,12.765688433465597,1,7,Central,1,Wood Stove,Average,,,Frame,Residential,LOVELAND CITY,"1,491","1,491",1,,LOVELAND CITY LAND,Frame Garage,485,Frame,1,"28,140",,,LOVELAND CITY,0.646,SINGLE FAMILY,2022,,Full,Gas,6,Cape Cod,782,,,,,Available,,1,,Public,Public,,,,,,,
"9779 Barnswood Ln, Loveland, OH 45140",4.0,4.0,4067.0,0.3699954086317722,13.304684934198283,3,16,Forced Air,1,1 Opening,Good,Concrete,Frame/Masonry,,Single Family,ASHWOOD ESTATES ADD,"4,067","4,162",,,,,473,,1,"16,152",1,,DEERFIELD TWP,0.3708,SINGLE FAMILY DWELLING,2022,,Full,,,,,,,,,,761,1,,,,Finished,,,,,,
"7003 Willow Ridge Ct, Loveland, OH 45140",3.0,3.0,1260.0,0.529981634527089,12.206072645530174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11371 Enyart Rd, Loveland, OH 45140",4.0,2.5,2517.0,0.4659779614325068,12.959844447906553,2,,,1,,Average,,Brick,Frame/Masonry,,SYMMES TRACE SUB,"2,517","4,173",2,2,ENYART RD 100 X 200 FT LOT 55 SYMMES TRACE SUB BL B,Attached Brick Garage,489,Attached Brick,1,"20,299",55,,SYMMES TOWNSHIP,0.466,SINGLE FAMILY,2022,,Full,Gas,8,Conventional,"1,167",B,200,100,RESID-SINGLE FAMILY,Connected,"1,167",1,Central,,,,,2,A,,,
"2634 Poppy Rd, Loveland, OH 45140",3.0,1.5,1532.0,0.323989898989899,12.560244459250788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6680 Paxton Guinea Rd, Loveland, OH 45140",5.0,3.5,3808.0,7.4,12.71709824929883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6518 Branch Hill Miamiville Rd, Loveland, OH 45140",2.0,1.0,1144.0,0.25,12.128111104060462,1,5,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,,"1,144","1,144",1,,,,,,1,"10,890",,,MIAMI TWP,0.25,SINGLE FAMILY,2022,,Crawl-Space,Gas,4,Bungalow,784,,,,,Available,,,,,Public,,,,,,,
"1197 Ridgewood Dr, Loveland, OH 45140",4.0,5.0,3960.0,0.71,13.560618308335483,4,16,Central,1,Prefab,Average,,,Brick,Residential,WOODS AT MIAMI TRAILS,"3,958","4,122",2,,WOODS @ MIAMI TRAILS LOT 431,Masonry/Brick Garage,660,Masonry/Brick,1,"30,971",431,,MIAMI TWP,0.711,SINGLE FAMILY,2022,,Full,Gas,9,Colonial,"1,126",,,,,Available,614,1,Central,Public,Public,Finished,,,,,,
"Daisy Rd, Loveland, OH 45140",3.0,2.5,2004.0,0.1389348025711662,12.560244459250788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2634 Poppy Dr, Loveland, OH 45140",3.0,2.5,2004.0,0.047933884297520664,12.560244459250788,1,7,Forced Air,1,1 Opening,Good,Concrete Block,Brick,Masonry,Single Family,LOVELAND PARK,"1,532","2,156",1,1,LOVELAND PARK #6233-6239,Attached Garage,624,Attached,1,"14,113",6233,LOVELAND CITY,DEERFIELD TWP,0.32,SINGLE FAMILY DWELLING,2022,KINGS LSD,Full,,,,,,,,,,,1,,,,Finished,,,,,,
"6518 Branch Hill Miamiville Rd, Loveland, OH 45140",3.0,1.0,1400.0,0.17998163452708907,12.128111104060462,1,5,Central,1,Wood Stove,Average,,,Aluminum/Vinyl,Residential,,"1,144","1,144",1,,,,,,1,"10,890",,,MIAMI TWP,0.25,SINGLE FAMILY,2022,,Crawl-Space,Gas,4,Bungalow,784,,,,,Available,,,,,Public,,,,,,,
